Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cellular response to molecule of bacterial origin (GO:0071219)	11/115	1.974100959788662E-5	0.001697315192012217	0	0	5.300968953925252	57.42440211267652	CD86;CD180;SIRPA;STAP1;LILRB2;CXCL3;TNFRSF1B;CD68;FCGR2B;TLR4;TLR2
regulation of T cell proliferation (GO:0042129)	9/76	2.0424124717159458E-5	0.001697315192012217	0	0	6.710577547047372	72.46614301917239	CD86;LGALS3;VCAM1;CCL5;TNFSF9;VSIG4;CD1D;LILRB2;TNFRSF1B
neutrophil migration (GO:1990266)	9/77	2.2724436688165288E-5	0.0017951523315066031	0	0	6.611554084549421	70.69119713968571	LGALS3;FCER1G;CCL3L1;CCL4L1;CCL5;ITGB2;BSG;CCL4;CXCL3
heterotypic cell-cell adhesion (GO:0034113)	6/30	2.4369696390529E-5	0.0017951523315066031	0	0	12.421319796954315	131.94137235508043	VCAM1;ITGB2;ITGAX;ITGB7;CD1D;LILRB2
plasma membrane invagination (GO:0099024)	6/30	2.4369696390529E-5	0.0017951523315066031	0	0	12.421319796954315	131.94137235508043	CDC42;ITGAM;ITGB2;CD36;FCGR1A;FCGR2B
response to amyloid-beta (GO:1904645)	7/44	2.4580924041376722E-5	0.0017951523315066031	0	0	9.417577883226738	99.95383826063546	VCAM1;LRP1;ADRB2;FPR2;CD36;FCGR2B;TLR4
regulation of cell migration (GO:0030334)	22/408	2.7632671593723368E-5	0.0019154812874960809	0	0	2.897085834909669	30.409295454534714	CSF1R;GRN;JAG1;SEMA3A;NEDD9;PRKCA;MITF;PTPRJ;SYNE2;VEGFA;SRGAP2C;ABI3;CCL5;SNAI1;ITGAX;FLNA;CTSH;SRGAP2;SRGAP2B;ARSB;VCL;HBEGF
negative regulation of T cell activation (GO:0050868)	7/45	2.8612998485418637E-5	0.0019154812874960809	0	0	9.169278157225124	95.92577379860786	CD86;LGALS3;VSIG4;LILRB2;FCGR2B;PAG1;HAVCR2
positive regulation of response to biotic stimulus (GO:0002833)	7/45	2.8612998485418637E-5	0.0019154812874960809	0	0	9.169278157225124	95.92577379860786	GRN;CCL5;CD180;LY86;PRKCA;CD1D;FPR2
cellular response to interferon-gamma (GO:0071346)	11/121	3.1833937963591994E-5	0.002073507851142073	0	0	5.010282776349614	51.881365947351654	VCAM1;CCL3L1;CCL4L1;CCL5;PRKCD;CCL4;SIRPA;IFI30;FCGR1A;TLR4;TLR2
positive regulation of MAPK cascade (GO:0043410)	17/274	4.054873955205963E-5	0.0025716437452753607	0	0	3.340725990795583	33.78478152719005	CSF1R;CCL3L1;CCL4L1;FLT3;LRRK2;LPAR1;PRKCA;PTPRJ;FPR2;ADRB2;PIK3R6;VEGFA;CD4;CCL5;CCL4;CD36;MAP2K7
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	6/34	5.159178105231239E-5	0.0031881074957967404	0	0	10.644670050761421	105.08576006934038	DGKD;NCF1;PDE6H;PLAUR;CBL;HBEGF
microglial cell activation (GO:0001774)	5/22	6.206550432181045E-5	0.0037394466353890795	0	0	14.581533879374534	141.25598783262953	GRN;ITGAM;TYROBP;ITGB2;FPR2
regulation of dendritic cell differentiation (GO:2001198)	4/12	6.869749687846452E-5	0.003941927797073797	0	0	24.737373737373737	237.1274626242954	LGALS3;TMEM176A;LILRB2;FCGR2B
positive regulation of myeloid leukocyte mediated immunity (GO:0002888)	4/12	6.869749687846452E-5	0.003941927797073797	0	0	24.737373737373737	237.1274626242954	ITGAM;TYROBP;ITGB2;STAP1
platelet aggregation (GO:0070527)	6/36	7.223998606839975E-5	0.0040487992191824045	0	0	9.934010152284264	94.72592111279664	PLEK;HBB;FLNA;ACTB;MYL12A;VCL
regulation of microglial cell mediated cytotoxicity (GO:1904149)	3/5	7.706342743416048E-5	0.004220974093552881	0	0	74.04785894206549	701.2985153094198	ITGAM;TYROBP;STAP1
phagocytosis, engulfment (GO:0006911)	6/37	8.478020847415653E-5	0.004540451164949272	0	0	9.613066972326838	90.12681368242173	CDC42;ITGAM;ITGB2;CD36;FCGR1A;FCGR2B
immune response-activating cell surface receptor signaling pathway (GO:0002429)	5/24	9.693068301388968E-5	0.005078324914423351	0	0	13.045303131245836	120.55835730097199	FCER1G;FPR1;C3AR1;FPR2;LILRA2
positive regulation of response to external stimulus (GO:0032103)	11/139	1.1310273744057501E-4	0.005775850941828513	0	0	4.301735218508997	39.090788378969336	GRN;CCL5;CD180;LY86;PRKCA;CD1D;FPR2;TLR4;USF1;IL17RA;TLR2
negative regulation of lymphocyte proliferation (GO:0050672)	6/39	1.1503769510695793E-4	0.005775850941828513	0	0	9.02953391785879	81.90013633706961	CD86;TYROBP;MNDA;VSIG4;LILRB2;FCGR2B
cellular response to peptide (GO:1901653)	7/57	1.3568612147588045E-4	0.006673541892997385	0	0	6.964376590330788	62.018931503294716	VCAM1;LRP1;CD36;ADRB2;FPR2;FCGR2B;TLR4
cellular response to lipopolysaccharide (GO:0071222)	10/120	1.5048697379477693E-4	0.007253472136908249	0	0	4.543123543123543	39.98691078137621	CD86;CCL5;CD180;SIRPA;STAP1;LILRB2;CXCL3;TNFRSF1B;CD68;TLR4
negative regulation of cell migration (GO:0030336)	11/144	1.5489269053942358E-4	0.007319438905882566	0	0	4.138952780408605	36.31011389463103	SRGAP2C;JAG1;LRP1;MITF;PTPRJ;TIMP1;TRIB1;ADIPOR1;SRGAP2;SRGAP2B;VCL
monocyte chemotaxis (GO:0002548)	6/42	1.7585133404874893E-4	0.00815003298187471	0	0	8.27580372250423	71.55153647738004	LGALS3;CCL3L1;CCL4L1;CCL5;PTPRO;CCL4
macrophage differentiation (GO:0030225)	4/15	1.8062817110757787E-4	0.008213469667344578	0	0	17.988062442607898	155.0403683309312	CDC42;CSF1R;CD4;VEGFA
response to interferon-gamma (GO:0034341)	8/80	1.9699598716365634E-4	0.008791857945637254	0	0	5.535147392290249	47.22768864660531	CCL3L1;CCL4L1;SLC11A1;CCL5;CCL4;SIRPA;TLR4;TLR2
homotypic cell-cell adhesion (GO:0034109)	6/44	2.2880699654774365E-4	0.00984687253000111	0	0	7.839433609404221	65.71508483796154	PLEK;HBB;FLNA;ACTB;MYL12A;VCL
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	6/44	2.2880699654774365E-4	0.00984687253000111	0	0	7.839433609404221	65.71508483796154	CDC42;SH3KBP1;PTPRJ;CBL;PTPN2;HBEGF
eosinophil chemotaxis (GO:0048245)	4/16	2.3704936334720324E-4	0.009849809752875168	0	0	16.488215488215488	137.63112737326963	LGALS3;CCL4L1;CCL5;CCL4
eosinophil migration (GO:0072677)	4/16	2.3704936334720324E-4	0.009849809752875168	0	0	16.488215488215488	137.63112737326963	LGALS3;CCL4L1;CCL5;CCL4
regulation of natural killer cell chemotaxis (GO:2000501)	3/7	2.6177143898423096E-4	0.010175309160516073	0	0	37.02015113350126	305.3436431245525	KLRK1;CCL5;CCL4
ethanol catabolic process (GO:0006068)	3/7	2.6177143898423096E-4	0.010175309160516073	0	0	37.02015113350126	305.3436431245525	SULT1A1;SULT1A3;SULT1A2
oxygen transport (GO:0015671)	3/7	2.6177143898423096E-4	0.010175309160516073	0	0	37.02015113350126	305.3436431245525	HBB;HBA1;IPCEF1
positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666)	3/7	2.6177143898423096E-4	0.010175309160516073	0	0	37.02015113350126	305.3436431245525	CD180;LY86;PRKCA
sulfation (GO:0051923)	4/17	3.051149092325908E-4	0.011671856051595934	0	0	15.21911421911422	123.19602213438428	SULT1A1;SULT1A4;SULT1A3;SULT1A2
regulation of neuron death (GO:1901214)	8/86	3.2501436796984957E-4	0.01208381389622565	0	0	5.107796964939822	41.02399237870806	ITGAM;TYROBP;LRRK2;CCL5;ITGB2;TNFRSF1B;FCGR2B;SULT1A3
regulation of ERK1 and ERK2 cascade (GO:0070372)	14/238	3.3065650405795675E-4	0.01208381389622565	0	0	3.1373056994818653	25.14371840266131	CSF1R;CCL3L1;CCL4L1;PRKCA;FPR2;CD4;CCL5;CNKSR3;CCL4;SIRPA;CD36;MAP2K7;TLR4;PTPN2
positive regulation of neuron death (GO:1901216)	6/47	3.309260237140634E-4	0.01208381389622565	0	0	7.2647022409310384	58.216531940118024	GRN;ITGAM;TYROBP;ITGB2;FCGR2B;TLR4
response to lipopolysaccharide (GO:0032496)	11/159	3.667302765077719E-4	0.013180656360250472	0	0	3.716598346418398	29.401578101381716	CD86;SLC11A1;CD180;SIRPA;STAP1;LILRB2;TRIB1;CXCL3;TNFRSF1B;CD68;TLR4
cellular response to interleukin-12 (GO:0071349)	6/48	3.71902337135698E-4	0.013180656360250472	0	0	7.091370558375634	55.99969717776104	CDC42;ARF1;BOLA2;SIRPA;LCP1;LMNB1
positive chemotaxis (GO:0050918)	4/18	3.861281757740847E-4	0.013486505849500638	0	0	14.131313131313131	111.06281124907363	LGALS3;PTPRJ;FPR2;VEGFA
regulation of cellular biosynthetic process (GO:0031326)	5/32	4.0268558800395543E-4	0.013863889529850466	0	0	9.176277543366151	71.73421435569986	CCL5;SIRPA;MITF;ADIPOR1;TNFRSF1B
amine metabolic process (GO:0009308)	3/8	4.126236333230996E-4	0.013949217438791963	0	0	29.614609571788414	230.78590254951774	SULT1A1;VCAM1;SULT1A2
cellular defense response (GO:0006968)	6/49	4.167401060551956E-4	0.013949217438791963	0	0	6.926100814543737	53.90617355022981	TYROBP;NCF1;NCF2;MNDA;CD300C;LILRB2
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	4/19	4.8141762334606583E-4	0.015893376332383816	0	0	13.188552188552189	100.74438834602378	SULT1A1;SULT1A4;SULT1A3;SULT1A2
regulation of dendritic cell antigen processing and presentation (GO:0002604)	3/9	6.097662524178753E-4	0.019858603626041613	0	0	24.67758186397985	182.6741924229641	SLC11A1;CD68;FCGR2B
positive regulation of lymphocyte activation (GO:0051251)	5/35	6.18022269802477E-4	0.01985911560298626	0	0	8.257383966244726	61.013695067176364	XRCC6;TYROBP;SH3KBP1;SIRPA;SIRPB1
macrophage activation (GO:0042116)	5/36	7.060521048888537E-4	0.022253323445124013	0	0	7.99060841159657	57.97842847263816	ITGAM;SLC11A1;ITGB2;FPR2;TLR4
hydrogen peroxide catabolic process (GO:0042744)	4/21	7.202320451118975E-4	0.022253323445124013	0	0	11.63576945929887	84.19569606884279	HBG1;HBB;HBA1;HBD
positive regulation of immune system process (GO:0002684)	4/21	7.202320451118975E-4	0.022253323445124013	0	0	11.63576945929887	84.19569606884279	HCAR2;LILRB2;AQP3;VEGFA
positive regulation of immune response (GO:0050778)	7/75	7.490137453052049E-4	0.022564039077319298	0	0	5.116150276904655	36.81967099503997	GRN;ITGAM;CCL5;ITGB2;CD1D;FPR2;FCGR2B
positive regulation of T cell activation (GO:0050870)	7/75	7.490137453052049E-4	0.022564039077319298	0	0	5.116150276904655	36.81967099503997	CD86;VCAM1;CCL5;SIRPA;CD1D;LILRB2;SIRPB1
cellular response to oxygen-containing compound (GO:1901701)	16/323	8.487648990331978E-4	0.02373006650945176	0	0	2.618485342019544	18.517216962166067	CD86;NCF1;AQP9;PRKCD;CD180;LILRB2;CXCL3;TNFRSF1B;ACTB;P2RY2;SIRPA;STAP1;CD68;TLR4;CPEB4;TLR2
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	3/10	8.582022349563605E-4	0.02373006650945176	0	0	21.151133501259444	149.34119030103292	CDC42;SPAG5;KNSTRN
cellular response to oxidised low-density lipoprotein particle stimulus (GO:0140052)	3/10	8.582022349563605E-4	0.02373006650945176	0	0	21.151133501259444	149.34119030103292	CD36;CD68;TLR4
lipoprotein transport (GO:0042953)	3/10	8.582022349563605E-4	0.02373006650945176	0	0	21.151133501259444	149.34119030103292	LRP1;UNC119;CD36
positive regulation of cell activation (GO:0050867)	3/10	8.582022349563605E-4	0.02373006650945176	0	0	21.151133501259444	149.34119030103292	PLEK;LILRA2;TLR4
primary alcohol catabolic process (GO:0034310)	3/10	8.582022349563605E-4	0.02373006650945176	0	0	21.151133501259444	149.34119030103292	SULT1A1;SULT1A3;SULT1A2
defense response to bacterium (GO:0042742)	11/176	8.593992721363779E-4	0.02373006650945176	0	0	3.3307626392459295	23.51277587041779	FCER1G;SLC11A1;PRKCD;STAB1;RNASE6;FPR2;CFP;LYST;TLR4;MPEG1;TLR2
regulation of platelet activation (GO:0010543)	4/22	8.664920551169108E-4	0.02373006650945176	0	0	10.988776655443322	77.48249734652029	FCER1G;PLEK;PRKCA;TLR4
platelet degranulation (GO:0002576)	9/125	9.301530844167662E-4	0.025088463653786183	0	0	3.8662139518476057	26.98679730756322	CFD;PLEK;F13A1;FLNA;QSOX1;CD36;TIMP1;VCL;VEGFA
positive regulation of gene expression, epigenetic (GO:0045815)	6/57	9.457475920123742E-4	0.025088463653786183	0	0	5.837264855180651	40.6479971926777	KAT2B;WBP2;PADI2;DDX21;ACTB;POLR2K
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	7/78	9.473237313255365E-4	0.025088463653786183	0	0	4.8992223058452495	34.107747196536934	FCER1G;NCF1;NCF2;CYBB;CD36;IFI30;FCGR1A
regulation of cell death (GO:0010941)	8/102	0.0010190152554943376	0.026693769192840798	0	0	4.234910985670864	29.173956862918097	LRP1;LRRK2;CCL5;HBB;CD36;HBA1;SRGAP2;TNFRSF1B
complement receptor mediated signaling pathway (GO:0002430)	3/11	0.0011625803504200342	0.029185610880336277	0	0	18.506297229219143	125.04914721997002	C3AR1;FPR1;FPR2
lipoprotein localization (GO:0044872)	3/11	0.0011625803504200342	0.029185610880336277	0	0	18.506297229219143	125.04914721997002	LRP1;UNC119;CD36
negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	3/11	0.0011625803504200342	0.029185610880336277	0	0	18.506297229219143	125.04914721997002	LRP1;PTPRJ;PTPN2
positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	3/11	0.0011625803504200342	0.029185610880336277	0	0	18.506297229219143	125.04914721997002	FCER2;TLR4;TLR2
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	7/81	0.0011848117044519957	0.029437074306487728	0	0	4.699883089196066	31.66861789118487	CD86;TYROBP;PTPRJ;LILRA2;TLR4;HAVCR2;TLR2
membrane organization (GO:0061024)	13/242	0.0012355215183137713	0.030383743460573355	0	0	2.8415084120375074	19.02748513182981	SH3KBP1;MX2;MYOF;ADRB2;CBL;CD3D;ACTB;IGF2R;CD4;AAK1;MFN2;CEP55;HBEGF
regulation of interleukin-1 beta production (GO:0032651)	7/83	0.001367420159027645	0.03328770286117803	0	0	4.5757332261952595	30.17618005240783	TYROBP;SIRPA;MNDA;CD36;LILRA2;TLR4;CD33
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	18/404	0.0013885020848502655	0.03344063483233761	0	0	2.3455226107479046	15.432435796023766	CSF1R;NCF1;NCF2;FLT3;NEDD9;CYBB;PTPRJ;ADRB2;CBL;ACTB;VEGFA;CDC42;CD4;ATP6V1B2;STAP1;ZNF106;POLR2K;PTPN2
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	4/25	0.00142920555507501	0.03344063483233761	0	0	9.417508417508417	61.690674802390014	SULT1A1;SULT1A4;SULT1A3;SULT1A2
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	4/25	0.00142920555507501	0.03344063483233761	0	0	9.417508417508417	61.690674802390014	LGALS3;PTPRJ;FCGR2B;PTPN2
positive regulation of ERBB signaling pathway (GO:1901186)	4/25	0.00142920555507501	0.03344063483233761	0	0	9.417508417508417	61.690674802390014	DGKD;PDE6H;PLAUR;CBL
lymphocyte differentiation (GO:0030098)	7/84	0.0014666004982786104	0.03398564616203319	0	0	4.5160767985195465	29.466534667378514	CD4;VCAM1;NFIL3;FLT3;PTPRJ;HDAC9;PTPN2
actin crosslink formation (GO:0051764)	3/12	0.0015272099793060996	0.03439790701053925	0	0	16.449202350965574	106.66177255132742	GAS2L3;FLNA;LCP1
gas transport (GO:0015669)	3/12	0.0015272099793060996	0.03439790701053925	0	0	16.449202350965574	106.66177255132742	HBB;HBA1;IPCEF1
negative regulation of B cell proliferation (GO:0030889)	3/12	0.0015272099793060996	0.03439790701053925	0	0	16.449202350965574	106.66177255132742	TYROBP;MNDA;FCGR2B
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	5/43	0.001608022139770703	0.0358827162671055	0	0	6.516322451698867	41.917875465451544	ITGAM;KLRK1;TYROBP;STAP1;CD1D
negative regulation of macroautophagy (GO:0016242)	4/26	0.0016626700574640268	0.036761787509067015	0	0	8.988980716253444	57.523458465582046	SMG1;LRRK2;FEZ2;QSOX1
positive regulation of cell motility (GO:2000147)	12/221	0.001718148401345424	0.03764306952038611	0	0	2.869481576481034	18.268577638796224	CSF1R;GRN;SEMA3A;CCL5;SNAI1;ITGAX;CTSH;NEDD9;PRKCA;SYNE2;HBEGF;VEGFA
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	4/27	0.0019213542953513936	0.04135212020428745	0	0	8.597716293368467	53.77635086619467	SRGAP2C;ABI3;PRKCD;STAP1
regulation of homotypic cell-cell adhesion (GO:0034110)	3/13	0.0019560753955555057	0.04135212020428745	0	0	14.803526448362721	92.32685820906268	CCL5;PLAUR;PRKCA
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	3/13	0.0019560753955555057	0.04135212020428745	0	0	14.803526448362721	92.32685820906268	RAB27A;CD36;TLR4
protein localization to mitochondrion (GO:0070585)	3/13	0.0019560753955555057	0.04135212020428745	0	0	14.803526448362721	92.32685820906268	LRRK2;HK2;HK1
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	5/45	0.001975500892922746	0.04139962740820711	0	0	6.189873417721519	38.543928883544666	SOCS1;CCL5;IL10RA;DOT1L;ADIPOR1
positive regulation of T cell proliferation (GO:0042102)	6/66	0.002037432647194867	0.042329419652927844	0	0	4.959390862944162	30.728707006484314	CD86;VCAM1;CCL5;TNFSF9;CD1D;LILRB2
interleukin-12-mediated signaling pathway (GO:0035722)	5/46	0.002180615018071052	0.04491694182522424	0	0	6.038592158073479	37.005388410328614	CDC42;ARF1;BOLA2;LCP1;LMNB1
toll-like receptor signaling pathway (GO:0002224)	7/91	0.0023273008121524018	0.04753216065497702	0	0	4.138252756573367	25.09041737165409	ITGAM;UNC93B1;ITGB2;CD36;TLR4;CTSB;TLR2
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	6/68	0.002373929580973589	0.04807706126173403	0	0	4.798919272965449	29.00087044107544	CSF1R;SOCS1;FLT3;CCL5;PTPN2;VEGFA
cellular response to low-density lipoprotein particle stimulus (GO:0071404)	3/14	0.0024528495623385993	0.048854276406909286	0	0	13.457064346233112	80.88375043391294	FCER1G;ITGB2;CD36
